TelephoneNumber,Email,NotificationChannel,Coloum1,Coloum2,Coloum3,Coloum4,Coloum5,Coloum6,Coloum7,Coloum8,Coloum9,Coloum10
392-1583            ,0garth_davis2@jmmb.com                  ,Text,03/06/1973 00:00,BANTON,CLIVE,L,Ms,,,,,
392-1584            ,0garth_davis2@jmmb.com                  ,Text,03/06/1973 00:00,REID,DONNET,O,Mr,,,,,
392-1585            ,0garth_davis2@jmmb.com                  ,Both,03/06/1927 00:00,WALFORD,SYLVIA,Y,Mr,,,,,
392-1586            ,0garth_davis2@jmmb.com                  ,Text,03/06/1954 00:00,BARNES,JANET,A,Ms,,,,,
392-1587            ,0garth_davis2@jmmb.com                  ,Text,03/06/1977 00:00,CLARKE,NOEMI,O,Ms,,,,,
392-1588            ,0garth_davis2@jmmb.com                  ,Text,03/06/2004 00:00,PALMER,MARLENE,A,Mr,,,,,
392-1589            ,0garth_davis2@jmmb.com                  ,Text,03/06/1964 00:00,LAMBERT,LORRAINE,O,Mr,,,,,
392-1590            ,0garth_davis2@jmmb.com                  ,Email,03/06/1965 00:00,BORELAND,DONNA,O,Mr,,,,,
392-1591            ,0garth_davis2@jmmb.com                  ,Text,03/06/1938 00:00,RITCHIE-SINCLAIR,IVY,V,Ms,,,,,
392-1592            ,0garth_davis2@jmmb.com                  ,Text,03/06/1965 00:00,BORELAND-TRACEY,DONNA,O,Ms,,,,,
392-1593            ,0garth_davis2@jmmb.com                  ,Email,03/06/1965 00:00,ATKINSON,MAXIE,A,Ms,,,,,
392-1594            ,0garth_davis2@jmmb.com                  ,Both,03/06/1981 00:00,STANLEY,NORDIA,O,Ms,,,,,
392-1595            ,0garth_davis2@jmmb.com                  ,Both,03/06/1973 00:00,REID,DONNET,O,Mr,,,,,
392-1596            ,0garth_davis2@jmmb.com                  ,Text,03/06/1984 00:00,CAMPBELL,JODY,O,Mr,,,,,
392-1597            ,0garth_davis2@jmmb.com                  ,Both,03/06/1975 00:00,SMITH,NICOLENE,I,Ms,,,,,
392-1598            ,0garth_davis2@jmmb.com                  ,Email,03/06/2000 00:00,THOMAS,OSHANE,S,Mr,,,,,
392-1599            ,0garth_davis2@jmmb.com                  ,Email,03/06/2003 00:00,OSBOURNE,ADRIAN,D,Mr,,,,,
392-1600            ,0garth_davis2@jmmb.com                  ,Text,03/06/1965 00:00,ATKINSON,MAXIE,A,Mr,,,,,
392-1601            ,0garth_davis2@jmmb.com                  ,Text,03/06/1965 00:00,BORELAND-TRACEY,DONNA,O,Ms,,,,,
392-1602            ,0garth_davis2@jmmb.com                  ,Text,03/06/1984 00:00,FOWLER,SHEREEN,H,Ms,,,,,
392-1603            ,0garth_davis2@jmmb.com                  ,Email,03/06/1977 00:00,ROBERTS,DEBBIE,E,Mr,,,,,
392-1604            ,0garth_davis2@jmmb.com                  ,Text,03/06/1936 00:00,PHILLIPS,PRUDENCE,R,Mr,,,,,
392-1605            ,0garth_davis2@jmmb.com                  ,Text,03/06/1931 00:00,ROWE,EULA,U,Ms,,,,,
392-1606            ,0garth_davis2@jmmb.com                  ,Both,03/06/1982 00:00,JAING,LILLY,I,Mr,,,,,
392-1607            ,0garth_davis2@jmmb.com                  ,Text,03/06/1959 00:00,DAVIS,LESMARINE,E,Ms,,,,,
392-1608            ,0garth_davis2@jmmb.com                  ,Both,03/06/1963 00:00,THOMSON,GARY,A,Ms,,,,,
392-1609            ,0garth_davis2@jmmb.com                  ,Both,03/06/1976 00:00,THOMPSON,DIEDRE,I,Ms,,,,,
392-1610            ,0garth_davis2@jmmb.com                  ,Both,03/06/1977 00:00,CLARKE,NOEMI,O,Mr,,,,,
392-1611            ,0garth_davis2@jmmb.com                  ,Text,03/06/1977 00:00,JOHNSON,KAYSHA,A,Mr,,,,,
392-1612            ,0garth_davis2@jmmb.com                  ,Text,03/06/1973 00:00,RICHARDSON,NADINE,A,Ms,,,,,
392-1613            ,0garth_davis2@jmmb.com                  ,Text,03/06/1953 00:00,JONES,NORMA,O,Mr,,,,,
392-1614            ,0garth_davis2@jmmb.com                  ,Email,03/06/1981 00:00,HEMMINGS,STACEY-ANN,T,Mr,,,,,
392-1615            ,0garth_davis2@jmmb.com                  ,Text,03/06/1946 00:00,WILSON,EVA,V,Mr,,,,,
392-1616            ,0garth_davis2@jmmb.com                  ,Text,03/06/2003 00:00,DANHI,RAMIESH,A,Mr,,,,,
392-1617            ,0garth_davis2@jmmb.com                  ,Text,03/06/1961 00:00,GORDON,LURLINE,U,Ms,,,,,
392-1618            ,0garth_davis2@jmmb.com                  ,Both,03/06/1962 00:00,CAMPBELL,MARCIA,A,Mr,,,,,
392-1619            ,0garth_davis2@jmmb.com                  ,Text,03/06/2007 00:00,,,,Ms,,,,,
392-1620            ,0garth_davis2@jmmb.com                  ,Text,03/06/1965 00:00,LAMBERT,LORRAINE,O,Ms,,,,,
392-1621            ,0garth_davis2@jmmb.com                  ,Both,03/06/1966 00:00,BREARCLIFFE,AUDREY,U,Ms,,,,,
392-1622            ,0garth_davis2@jmmb.com                  ,Text,03/06/1952 00:00,JONES,IMOGENE,M,Ms,,,,,
392-1623            ,0garth_davis2@jmmb.com                  ,Text,03/06/2001 00:00,TOOLEY,KENDRA,E,Ms,,,,,
392-1624            ,0garth_davis2@jmmb.com                  ,Text,03/06/1923 00:00,SMITH,ESMIE,S,Mr,,,,,
392-1625            ,0garth_davis2@jmmb.com                  ,Email,03/06/1949 00:00,THOMAS,KARLENE,A,Mr,,,,,
392-1626            ,0garth_davis2@jmmb.com                  ,Email,03/06/1970 00:00,EVANS,SANDRA,A,Ms,,,,,
392-1627            ,0garth_davis2@jmmb.com                  ,Text,03/06/1986 00:00,MINTO,LATOYA,A,Ms,,,,,
392-1628            ,0garth_davis2@jmmb.com                  ,Both,03/06/1964 00:00,MOODY,HORACE,O,Mr,,,,,
392-1629            ,0garth_davis2@jmmb.com                  ,Text,03/06/1965 00:00,BORELAND-TRACEY,DONNA,O,Ms,,,,,
392-1630            ,0garth_davis2@jmmb.com                  ,Text,03/06/1979 00:00,TUCKER,VERONICA,E,Ms,,,,,
392-1631            ,0garth_davis2@jmmb.com                  ,Text,03/06/1946 00:00,WILSON,EVA,V,Ms,,,,,
392-1632            ,0garth_davis2@jmmb.com                  ,Text,03/06/1999 00:00,BROWN,AJANI,J,Mr,,,,,
392-1633            ,0garth_davis2@jmmb.com                  ,Email,03/06/2001 00:00,DAVIS,BRIAN,R,Mr,,,,,
392-1634            ,0garth_davis2@jmmb.com                  ,Email,03/06/1968 00:00,WILLIAMS,SANDRA,A,Mr,,,,,
392-1635            ,0garth_davis2@jmmb.com                  ,Email,03/06/1952 00:00,JONES,IMOGENE,M,Ms,,,,,
392-1636            ,0garth_davis2@jmmb.com                  ,Email,03/06/1980 00:00,CHAMBERS,SHARON,H,Mr,,,,,
392-1637            ,0garth_davis2@jmmb.com                  ,Both,03/06/1982 00:00,GORDON,KWAME,W,Ms,,,,,
392-1638            ,0garth_davis2@jmmb.com                  ,Email,03/06/1982 00:00,HENRY,CORLA,O,Ms,,,,,
392-1639            ,0garth_davis2@jmmb.com                  ,Text,03/06/1945 00:00,IRVING,LLOYD,L,Ms,,,,,
392-1640            ,0garth_davis2@jmmb.com                  ,Text,03/06/1936 00:00,PHILLIPS,PRUDENCE,R,Mr,,,,,
392-1641            ,0garth_davis2@jmmb.com                  ,Both,03/06/1964 00:00,EVANS,JENNIFER,E,Mr,,,,,
392-1642            ,0garth_davis2@jmmb.com                  ,Text,03/06/1954 00:00,BARNES,JANET,A,Mr,,,,,
392-1643            ,0garth_davis2@jmmb.com                  ,Both,03/06/1971 00:00,HAYLES,WILFRED,I,Mr,,,,,
392-1644            ,0garth_davis2@jmmb.com                  ,Text,03/06/1959 00:00,RATTIFORD,SHARON,H,Mr,,,,,
392-1645            ,0garth_davis2@jmmb.com                  ,Text,03/06/1973 00:00,RICHARDSON,NADINE,A,Ms,,,,,
392-1646            ,0garth_davis2@jmmb.com                  ,Text,03/06/1980 00:00,BROWN,TANESHA,A,Mr,,,,,
392-1647            ,0garth_davis2@jmmb.com                  ,Text,03/06/2001 00:00,OLIVER,SHANE,H,Mr,,,,,
392-1648            ,0garth_davis2@jmmb.com                  ,Text,03/06/1980 00:00,BROWN,TANASHA,A,Mr,,,,,
392-1649            ,0garth_davis2@jmmb.com                  ,Text,03/06/1964 00:00,EVANS,JENNIFER,E,Ms,,,,,
392-1650            ,0garth_davis2@jmmb.com                  ,Both,03/06/1966 00:00,POWELL,SANDRA,A,Ms,,,,,
392-1651            ,0garth_davis2@jmmb.com                  ,Both,03/06/1947 00:00,JOHNSON,CATHERINE,A,Mr,,,,,
392-1652            ,0garth_davis2@jmmb.com                  ,Both,03/06/1936 00:00,PHILLIPS,PRUDENCE,R,Mr,,,,,
392-1653            ,0garth_davis2@jmmb.com                  ,Both,03/06/2001 00:00,PETINAUD,DESMOND,E,Mr,,,,,
392-1654            ,0garth_davis2@jmmb.com                  ,Email,03/06/1916 00:00,JOHNSON,ENID,N,Ms,,,,,
392-1655            ,0garth_davis2@jmmb.com                  ,Text,03/06/2007 00:00,,,,Ms,,,,,
392-1656            ,0garth_davis2@jmmb.com                  ,Both,03/06/1965 00:00,BORELAND,DONNA,O,Ms,,,,,
392-1657            ,0garth_davis2@jmmb.com                  ,Email,03/06/1977 00:00,CLARKE,NOEMI,O,Mr,,,,,
392-1658            ,0garth_davis2@jmmb.com                  ,Text,03/06/1952 00:00,JONES,IMOGENE,M,Mr,,,,,
392-1659            ,0garth_davis2@jmmb.com                  ,Both,03/06/2006 00:00,,,,Mr,,,,,
392-1660            ,0garth_davis2@jmmb.com                  ,Email,03/06/1935 00:00,HENRY,CHRISTINE,H,Mr,,,,,
392-1661            ,0garth_davis2@jmmb.com                  ,Email,03/06/1959 00:00,DAVIS,LESMARINE,E,Mr,,,,,
392-1662            ,0garth_davis2@jmmb.com                  ,Text,03/06/1966 00:00,DELISSER,ROSLYN,O,Mr,,,,,
392-1663            ,0garth_davis2@jmmb.com                  ,Both,03/06/1998 00:00,BERNARD,SHEMAR,H,Ms,,,,,
392-1664            ,0garth_davis2@jmmb.com                  ,Both,03/06/1964 00:00,DACOSTA,ALISTER,L,Mr,,,,,
392-1665            ,0garth_davis2@jmmb.com                  ,Text,03/06/1986 00:00,JOHNSON,ROXANNE,O,Mr,,,,,
392-1666            ,0garth_davis2@jmmb.com                  ,Email,03/06/1994 00:00,BAKER,SHANE,H,Mr,,,,,
392-1667            ,0garth_davis2@jmmb.com                  ,Email,03/06/1977 00:00,CLARKE,NOEMI,O,Mr,,,,,
392-1668            ,0garth_davis2@jmmb.com                  ,Text,03/06/1952 00:00,JONES,IMOGENE,M,Ms,,,,,
392-1669            ,0garth_davis2@jmmb.com                  ,Both,03/06/1947 00:00,CHAMBERS,JOAN,O,Mr,,,,,
392-1670            ,0garth_davis2@jmmb.com                  ,Email,03/06/1973 00:00,SPENCE-REID,DONNET,O,Mr,,,,,
392-1671            ,0garth_davis2@jmmb.com                  ,Text,03/06/1941 00:00,PHANG,HERMAN,E,Mr,,,,,
392-1672            ,0garth_davis2@jmmb.com                  ,Email,03/06/1978 00:00,MCCALLA,DWAIN,W,Mr,,,,,
392-1673            ,0garth_davis2@jmmb.com                  ,Both,03/06/1977 00:00,WIGG,MAY,A,Ms,,,,,
392-1674            ,0garth_davis2@jmmb.com                  ,Text,03/06/1940 00:00,GREGORY,LINEUS,I,Mr,,,,,
392-1675            ,0garth_davis2@jmmb.com                  ,Text,03/06/2006 00:00,RAMCHARAN,JOSEPH,O,Mr,,,,,
392-1676            ,0garth_davis2@jmmb.com                  ,Text,03/06/1934 00:00,BROWN,HEZEKIAH,E,Mr,,,,,
392-1677            ,0garth_davis2@jmmb.com                  ,Both,03/06/1928 00:00,CAMERON,DORREL,O,Ms,,,,,
392-1678            ,0garth_davis2@jmmb.com                  ,Both,03/06/1979 00:00,MCBEAN,RODRIQUE,O,Ms,,,,,
392-1679            ,0garth_davis2@jmmb.com                  ,Email,03/06/1976 00:00,THOMPSON,DEIDRE,E,Ms,,,,,
